date,quality_A,quality_B,speed_A,speed_B,stable_A,stable_B,usability_A,usability_B,cost_A,cost_B
2025-12-09,71.9,62.1,93.6,79.3,80.6,76.3,72.7,81.1,62.8,26.0
2025-12-10,75.8,60.5,74.3,76.3,82.1,80.4,72.8,70.1,49.2,55.4
2025-12-11,79.2,117.20538044014349,90.2,81.4,85.2,89.5,69.8,81.5,63.2,51.3
2025-12-12,70.9,79.4,89.2,74.5,87.1,89.9,,68.6,66.4,79.1
2025-12-13,71.2,79.3,76.6,69.4,78.8,79.3,67.7,67.0,,54.6
2025-12-14,,80.4,89.7,81.1,83.2,84.2,75.9,77.7,41.5,57.7
2025-12-15,66.0,56.2,86.6,91.9,85.4,80.3,70.0,69.3,71.8,57.5
2025-12-16,69.0,55.9,88.0,76.0,80.9,72.5,75.3,70.5,60.9,44.9
2025-12-17,75.0,64.0,95.2,70.7,79.5,79.1,,82.0,32.3,52.4
2025-12-18,82.2,,87.7,91.4,86.3,76.0,77.6,79.6,80.7,66.2
2025-12-19,67.2,64.7,40.97447384013813,78.3,80.9,78.6,79.6,72.4,55.2,36.7
2025-12-20,,72.5,82.3,84.6,74.8,73.9,88.2,63.6,84.4,61.1
2025-12-21,64.2,80.0,69.0,72.9,90.2,79.9,72.3,69.9,63.8,49.0
2025-12-22,87.4,67.4,81.1,78.1,75.5,80.8,89.9,,58.0,71.0
2025-12-23,84.6,62.7,80.7,,81.4,83.2,70.5,81.8,61.8,61.9
2025-12-24,63.6,77.3,75.9,78.9,83.9,80.9,75.1,85.0,52.9,42.8
2025-12-25,61.9,67.5,72.8,79.0,84.7,88.8,91.1,76.8,60.6,53.8
2025-12-26,80.8,,76.3,67.6,83.0,92.2,100.0,72.5,80.1,62.5
2025-12-27,72.0,67.0,,83.5,64.3,76.6,90.5,81.3,51.0,55.0
2025-12-28,34.9978100283979,73.1,79.1,72.5,77.8,84.8,75.2,84.0,65.3,
2025-12-29,89.5,60.9,80.7,85.8,83.8,91.7,81.1,71.6,52.8,57.8
2025-12-30,65.4,,84.1,79.4,81.3,85.0,,70.0,58.3,66.7
2025-12-31,69.2,69.7,77.8,80.0,85.1,83.3,79.8,64.4,79.8,62.4
2026-01-01,70.1,63.1,89.0,83.4,88.1,68.1,68.9,69.8,65.3,57.5
2026-01-02,52.6,74.8,79.7,80.6,,75.7,78.9,79.7,67.5,58.2
2026-01-03,75.7,63.1,,90.0,77.6,76.5,73.0,70.8,60.7,47.2
2026-01-04,67.7,63.5,77.9,88.9,,87.3,69.3,81.5,4.286696886496465,72.7
2026-01-05,81.5,59.2,99.2,69.5,91.8,74.6,74.5,88.8,50.5,87.6
2026-01-06,82.5,54.7,83.3,76.8,80.9,78.5,79.5,75.2,44.2,54.7
2026-01-07,76.9,74.8,91.4,83.9,81.4,84.0,85.0,112.76726928243785,76.9,58.5
2026-01-08,76.9,80.5,75.1,71.4,85.1,74.3,75.0,78.8,56.2,68.2
2026-01-09,76.3,65.9,76.9,67.0,89.4,,76.4,71.0,64.1,
2026-01-10,69.4,62.8,78.2,72.7,76.6,79.9,83.4,70.5,77.2,59.8
2026-01-11,70.1,53.7,97.3,77.2,79.0,84.3,39.19423693431042,70.7,64.2,48.2
2026-01-12,85.6,50.4,78.5,49.5,72.4,83.0,80.1,67.0,82.3,76.2
2026-01-13,80.9,76.5,74.2,70.2,80.2,82.8,77.6,81.3,61.4,64.8
2026-01-14,76.6,52.2,89.1,65.6,85.4,80.2,78.6,71.5,52.9,
2026-01-15,79.8,59.7,80.4,,79.8,68.9,68.4,82.8,36.5,50.8
2026-01-16,74.5,72.6,78.5,84.5,92.6,79.8,78.0,78.7,63.0,58.6
2026-01-17,76.5,70.8,75.7,79.9,82.7,79.3,88.4,74.8,37.6,39.9
2026-01-18,79.8,72.9,83.4,78.7,81.4,83.6,78.4,80.7,63.2,65.4
2026-01-19,58.4,70.1,87.4,81.8,,76.5,70.3,68.4,74.6,67.8
2026-01-20,82.2,66.8,85.5,71.0,73.8,79.3,88.8,69.5,,60.3
2026-01-21,81.7,59.8,76.6,86.8,81.5,,82.8,80.0,61.9,48.4
2026-01-22,68.8,64.3,73.1,78.7,84.2,74.7,83.1,59.6,69.2,62.5
2026-01-23,85.0,67.4,51.9,84.4,81.3,72.1,82.9,75.1,66.7,65.9
2026-01-24,57.3,53.0,73.4,84.1,83.4,81.3,68.0,79.1,71.6,50.6
2026-01-25,77.8,62.9,77.4,81.7,78.0,,82.2,84.2,59.8,
2026-01-26,75.3,66.7,79.6,80.2,,75.3,88.1,85.6,37.5,63.2
2026-01-27,72.5,63.8,78.1,79.7,81.4,77.7,73.2,74.1,71.8,55.3
2026-01-28,75.2,66.9,99.6,77.6,83.3,84.0,61.6,80.4,57.6,52.4
