txn_id,date,category,amount
X00150,2025-09-08,A,105.42
X00151,2025-08-16,A,75.44
X00152,2025-08-03,A,56.91
X00153,2025-08-20,A,69.18
X00154,2025-08-10,A,53.79
X00155,2025-08-22,A,70.97
X00156,2025-08-03,B,46.15
X00157,2025-08-11,A,62.45
X00158,2025-08-25,C,25.65
X00159,2025-08-08,C,38.71
X00160,2025-08-09,B,38.92
X00161,2025-08-15,C,45.28
X00162,2025-09-01,A,34.35
X00163,2025-08-03,A,41.81
X00164,2025-08-04,B,25.61
X00165,2025-08-30,B,71.83
X00166,2025-08-13,B,52.39
X00167,2025-08-21,C,23.28
X00168,2025-08-19,D,35.97
X00169,2025-09-08,B,64.61
X00170,2025-08-22,C,41.62
X00171,2025-08-20,A,38.53
X00172,2025-09-06,A,52.6
X00173,2025-08-31,C,64.83
X00174,2025-08-10,B,26.62
X00175,2025-08-18,B,71.88
X00176,2025-09-08,A,36.59
X00177,2025-08-20,B,54.11
X00178,2025-08-18,A,53.64
X00179,2025-08-11,B,41.95
X00180,2025-08-22,A,32.73
X00181,2025-08-18,A,47.33
X00182,2025-09-03,A,123.06
X00183,2025-08-23,A,27.64
X00184,2025-08-01,C,127.25
X00185,2025-08-10,A,47.95
X00186,2025-08-01,A,
X00187,2025-09-07,B,31.71
X00188,2025-09-08,B,37.13
X00189,2025-08-09,A,42.46
X00190,2025-08-31,A,32.37
X00191,2025-08-07,D,49.18
X00192,2025-08-17,B,44.54
X00193,2025-09-04,A,137.74
X00194,2025-09-06,B,30.48
X00195,2025-08-18,A,57.47
X00196,2025-09-02,A,61.8
X00197,2025-08-04,B,31.97
X00198,2025-08-23,C,76.97
X00199,2025-08-11,A,44.74
X00200,2025-08-09,C,15.7
X00201,2025-08-30,A,75.94
X00202,2025-08-08,A,31.23
X00203,2025-09-09,A,32.33
X00204,2025-08-05,A,77.01
X00205,2025-08-12,D,45.9
X00206,2025-08-01,B,86.39
X00207,2025-08-15,A,99.99
X00208,2025-08-25,D,39.55
X00209,2025-08-18,C,81.18
X00210,2025-09-07,C,37.42
X00211,2025-08-26,D,166.76
X00212,2025-09-09,A,38.61
X00213,2025-08-03,C,
X00214,2025-08-22,B,
X00215,2025-08-26,C,63.95
X00216,2025-08-19,C,
X00217,2025-09-08,A,50.62
X00218,2025-09-05,C,18.6
X00219,2025-08-21,A,
X00220,2025-08-26,A,65.03
X00221,2025-08-13,A,58.37
X00222,2025-09-05,D,12.35
X00223,2025-08-24,A,29.0
X00224,2025-08-26,B,37.56
X00225,2025-08-21,A,63.17
X00226,2025-08-18,D,63.1
X00227,2025-08-15,A,50.14
X00228,2025-08-15,C,75.01
X00229,2025-08-06,C,32.68
X00230,2025-08-31,B,74.08
X00231,2025-08-28,A,69.23
X00232,2025-08-08,C,65.94
X00233,2025-08-29,D,49.85
X00234,2025-08-21,C,136.37
X00235,2025-08-17,A,69.87
X00236,2025-08-24,C,33.64
X00237,2025-09-05,A,61.82
X00238,2025-08-31,B,79.54
X00239,2025-09-03,C,40.69
X00240,2025-08-02,A,94.13
X00241,2025-08-03,C,66.09
X00242,2025-08-30,B,16.92
X00243,2025-08-08,C,63.42
X00244,2025-08-07,A,44.57
X00245,2025-08-12,B,
X00246,2025-08-19,C,87.54
X00247,2025-08-26,A,60.19
X00248,2025-08-28,A,125.54
X00249,2025-08-15,D,49.93
X00250,2025-08-14,A,74.62
X00251,2025-08-14,D,81.65
X00252,2025-08-03,A,52.0
X00253,2025-08-29,A,80.59
X00254,2025-08-06,C,40.56
X00255,2025-08-23,B,44.2
X00256,2025-08-28,B,28.33
X00257,2025-08-14,B,
X00258,2025-08-14,C,64.24
X00259,2025-08-20,A,98.46
X00260,2025-08-13,B,81.09
X00261,2025-08-27,A,47.35
X00262,2025-09-04,B,30.29
X00263,2025-08-02,A,67.79
X00264,2025-09-09,A,95.14
X00265,2025-08-24,B,79.65
X00266,2025-08-29,A,197.98472809647933
X00267,2025-08-03,A,49.11
X00268,2025-08-04,B,43.24
X00269,2025-08-02,B,37.77
X00270,2025-08-20,C,53.09
X00271,2025-08-15,B,52.49
X00272,2025-09-01,A,60.54
X00273,2025-08-01,B,51.18
X00274,2025-09-07,A,51.07
X00275,2025-09-04,C,37.03
X00276,2025-08-07,D,87.43
X00277,2025-08-13,B,56.73
X00278,2025-08-01,B,50.04
X00279,2025-08-14,A,37.57
X00280,2025-08-29,B,28.05
X00281,2025-08-03,C,105.0
X00282,2025-08-24,A,72.05
X00283,2025-08-01,A,
X00284,2025-08-10,B,79.96
X00285,2025-08-13,C,86.59
X00286,2025-09-05,A,58.1
X00287,2025-08-09,D,121.4
X00288,2025-08-14,A,60.85
X00289,2025-09-05,A,26.89
X00290,2025-08-10,C,65.54
X00291,2025-09-09,A,61.71
X00292,2025-08-23,B,40.38
X00293,2025-09-04,A,72.73
X00294,2025-08-07,A,23.72
X00295,2025-09-04,A,89.59
X00296,2025-08-02,D,35.2
X00297,2025-08-15,B,33.37
X00298,2025-08-09,C,51.58
X00299,2025-08-17,A,67.79
X00300,2025-09-08,B,59.26
X00301,2025-08-18,B,37.66
X00302,2025-08-15,D,42.39
X00303,2025-08-18,C,30.98
X00304,2025-08-24,C,48.8
X00305,2025-08-23,A,93.46
X00306,2025-08-12,B,54.48
X00307,2025-08-23,B,83.91
X00308,2025-08-21,D,113.04
X00309,2025-08-26,A,40.69
X00310,2025-08-08,A,49.74
X00311,2025-08-30,B,161.68
X00312,2025-09-03,A,112.41
X00313,2025-08-02,A,23.66
X00314,2025-08-05,C,66.26
X00315,2025-08-31,B,54.61
X00316,2025-09-02,C,82.54
X00317,2025-08-04,C,37.62
X00318,2025-08-06,A,35.88
X00319,2025-08-23,B,38.94
X00320,2025-08-19,A,41.02
X00321,2025-08-08,D,82.08
X00322,2025-09-08,B,30.25
X00323,2025-08-13,A,39.99
X00324,2025-08-01,A,
X00325,2025-08-06,B,90.34
X00326,2025-08-07,A,
X00327,2025-08-27,A,46.36
X00328,2025-08-15,C,47.04
X00329,2025-09-03,C,68.48
X00330,2025-08-23,A,114.12
X00331,2025-08-24,B,66.97
X00332,2025-08-15,C,38.52
X00333,2025-09-04,A,24.3
X00334,2025-08-04,C,31.26
X00335,2025-09-06,A,56.63
X00336,2025-08-17,B,39.34
X00337,2025-08-31,B,60.19
X00338,2025-09-07,B,41.41
X00339,2025-08-10,C,32.17
X00340,2025-08-27,A,30.31
X00341,2025-08-06,A,119.24
X00342,2025-08-06,B,85.16
X00343,2025-08-15,C,129.7
X00344,2025-08-04,A,71.52
X00345,2025-09-09,C,44.04
X00346,2025-08-07,A,105.81
X00347,2025-08-26,A,53.7
X00348,2025-08-31,C,60.97
X00349,2025-08-02,A,53.44
X00350,2025-08-28,B,-79.45899125437404
X00351,2025-08-13,A,121.8
X00352,2025-08-18,A,69.79
X00353,2025-08-30,B,64.39
X00354,2025-08-11,B,52.94
X00355,2025-08-13,B,
X00356,2025-08-24,B,40.5
X00357,2025-08-29,A,74.31
X00358,2025-08-05,B,28.4
X00359,2025-09-04,D,59.92
X00360,2025-08-19,C,72.3
X00361,2025-08-13,A,49.44
X00362,2025-08-05,A,65.72
X00363,2025-08-14,D,33.26
X00364,2025-09-07,B,33.69
X00365,2025-08-22,B,61.46
X00366,2025-08-09,C,76.65
X00367,2025-09-09,A,21.38
X00368,2025-08-26,B,70.88
X00369,2025-08-05,D,41.61
X00370,2025-08-29,B,49.58
X00371,2025-08-22,A,27.95
X00372,2025-08-03,A,35.67
X00373,2025-08-28,A,88.51
X00374,2025-09-07,C,55.5
X00375,2025-08-14,A,45.09
X00376,2025-08-14,A,51.51
X00377,2025-08-11,D,69.73
X00378,2025-08-09,A,
X00379,2025-09-07,A,52.59
X00380,2025-08-06,A,94.3
X00381,2025-08-01,A,88.7
X00382,2025-08-25,B,67.13
X00383,2025-08-16,D,56.11
X00384,2025-08-15,C,75.84
X00385,2025-09-03,B,63.89
X00386,2025-08-17,B,92.8
X00387,2025-08-03,B,85.61
X00388,2025-08-03,A,32.81
X00389,2025-09-06,A,31.72
X00390,2025-08-17,D,38.45
X00391,2025-09-07,A,
X00392,2025-08-01,A,24.82
X00393,2025-08-07,B,66.51
X00394,2025-08-26,B,65.45
X00395,2025-09-08,A,97.64
X00396,2025-08-19,A,59.75
X00397,2025-08-30,A,27.89
X00398,2025-08-14,B,33.8
X00399,2025-08-13,A,30.24
X00400,2025-08-20,B,41.72
