x,a,b,c,group
Item_74,46.3,52.0,38.6,G1
Item_75,67.9,51.2,24.3,G2
Item_76,50.4,30.1,28.4,G1
Item_77,62.3,58.0,34.8,G1
Item_78,35.9,14.2,29.9,G1
Item_79,53.4,42.1,41.2,G1
Item_80,41.6,27.2,35.0,G2
Item_81,41.1,43.7,28.8,G2
Item_82,58.9,37.4,5.0,G1
Item_83,48.6,29.8,38.0,G1
Item_84,33.4,32.6,20.6,G2
Item_85,51.2,,36.8,G2
Item_86,41.4,40.8,33.9,G2
Item_87,32.7,49.7,28.4,G1
Item_88,38.1,59.6,37.6,G2
Item_89,74.6,38.3,34.2,G1
Item_90,,43.0,32.6,G1
Item_91,25.8,51.9,16.3,G2
Item_92,47.7,35.5,30.3,G1
Item_93,48.6,32.2,,G1
Item_94,46.8,59.5,21.2,G2
Item_95,42.0,38.2,27.1,G1
Item_96,59.0,,41.7,G2
Item_97,61.3,24.0,,G2
Item_98,62.6,34.8,33.5,G2
Item_99,54.0,58.9,36.2,G1
Item_100,57.3,44.6,23.0,G2
Item_101,45.9,39.7,17.4,G2
Item_102,31.1,53.9,16.0,G1
Item_103,30.8,23.5,31.8,G1
Item_104,39.8,35.9,37.9,G2
Item_105,47.6,62.7,37.3,G1
Item_106,34.6,39.5,23.4,G1
Item_107,36.4,39.4,40.8,G1
Item_108,45.5,51.8,46.3,G1
Item_109,60.4,52.5,34.9,G1
Item_110,54.0,27.0,41.9,G2
Item_111,39.6,44.3,37.0,G2
Item_112,50.6,57.6,28.2,G2
Item_113,34.1,33.6,24.7,G1
Item_114,39.6,36.3,17.1,G1
Item_115,30.1,40.3,26.4,G2
Item_116,55.1,46.9,28.1,G2
Item_117,46.6,25.7,28.3,G2
Item_118,48.1,8.9,29.1,G1
Item_119,59.7,42.2,11.7,G2
Item_120,38.0,51.7,36.2,G1
Item_121,55.6,36.9,37.2,G2
Item_122,73.8,33.9,33.0,G2
Item_123,38.2,38.3,,G1
Item_124,31.2,56.0,32.9,G1
Item_125,34.9,33.4,30.2,G2
Item_126,54.7,45.7,33.8,G2
Item_127,71.0,,42.4,G2
Item_128,70.5,28.9,28.6,G1
Item_129,,48.5,31.5,G1
Item_130,60.6,56.3,23.1,G2
Item_131,55.6,48.9,37.4,G2
Item_132,58.7,19.5,35.6,G2
Item_133,53.6,35.8,31.7,G1
Item_134,40.4,42.4,21.6,G2
Item_135,70.6,40.6,24.5,G2
Item_136,66.0,20.8,15.3,G1
Item_137,,27.0,24.4,G2
Item_138,57.8,,35.7,G2
Item_139,,39.3,33.2,G1
Item_140,55.0,20.7,31.3,G1
Item_141,47.5,46.0,41.9,G2
Item_142,67.2,39.1,32.4,G1
Item_143,53.1,29.6,25.4,G1
Item_144,42.5,41.9,24.4,G1
Item_145,36.2,25.6,28.1,G1
Item_146,14.8,39.5,26.4,G1
Item_147,73.7,22.0,37.6,G1
Item_148,40.0,23.5,33.4,G1
Item_149,61.6,35.5,27.4,G2
Item_150,39.0,32.8,27.7,G1
